Title,Artist,Nationality,Lifespan,Image_URL,Image_path,Birth,Death,Year,Impressionist,Highly_Detailed,Human_Subject,Landscape,Abstract,Ornamental_Pattern,Animal_Subject,Architecture_Subject,Many_Colors
"Lavans-lès-Saint-Claude, Jura, Femmes au balcon",Georges Valmier,French, 1885 – 1937,"https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Lavans-lès-Saint-Claude,%20Jura,%20Femmes%20au%20balcon%20(1926).jpg","Lavans-lès-Saint-Claude, Jura, Femmes au balcon (1926).jpg",1885,1937.0,1926.0,0.20320379734039307,0.011117794550955296,0.09791644662618637,0.28116703033447266,0.23457413911819458,0.0172070674598217,0.017099590972065926,0.0644131675362587,0.07330092787742615
Ohne Titel II,Karl Wiener,Austrian, 1901-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Ohne%20Titel%20II%20(around%201928).jpg,Ohne Titel II (around 1928).jpg,1901,1949.0,1928.0,0.06209308281540871,0.0032515432685613632,0.0035801308695226908,0.4217343330383301,0.38826799392700195,0.004578751511871815,0.0012688980204984546,0.049420200288295746,0.06580502539873123
Pokój Karmazynowy w Pałacu w Podhorcach,Ivan Ivanec,Ukrainian, 1893–1946,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Pokój%20Karmazynowy%20w%20Pałacu%20w%20Podhorcach%20(1940).jpg,Pokój Karmazynowy w Pałacu w Podhorcach (1940).jpg,1893,1946.0,1940.0,0.7212758660316467,0.022347567602992058,0.00480720354244113,0.17131640017032623,0.002594469115138054,0.0044257743284106255,0.00795985572040081,0.054058246314525604,0.011214623227715492
Deep Pathos,Paul Klee,German, 1879 - 1940,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Deep%20Pathos%20(1915).jpg,Deep Pathos (1915).jpg,1879,1940.0,1915.0,0.2866574823856354,0.031324539333581924,0.007998966611921787,0.042542457580566406,0.20219753682613373,0.1526491343975067,0.005473497789353132,0.014313926920294762,0.2568424642086029
Ohne Titel VI,Karl Wiener,Austrian, 1901-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Ohne%20Titel%20VI%20(around%201940).jpg,Ohne Titel VI (around 1940).jpg,1901,1949.0,1940.0,0.3971141576766968,0.004101558122783899,0.07819954305887222,0.3753102123737335,0.06956803798675537,0.0003289582091383636,0.002225283533334732,0.05218511074781418,0.020967066287994385
Chalupy,Konštantín Bauer,Slovak, 1893-1928,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Chalupy%20(1924–1927).jpg,Chalupy (1924–1927).jpg,1893,1928.0,1927.0,0.041612934321165085,0.00031614277395419776,0.00017751024279277772,0.9534807205200195,0.0008059802930802107,3.5721506719710305e-05,8.883145346771926e-05,0.003018101444467902,0.00046397041296586394
Komposition (Anbetung Heilige Ursula),Adolf Hölzel,German, 1853 – 1934,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Komposition%20(Anbetung%20Heilige%20Ursula)%20(1914).jpg,Komposition (Anbetung Heilige Ursula) (1914).jpg,1853,1934.0,1914.0,0.46758177876472473,0.00870484858751297,0.07889614999294281,0.18485379219055176,0.12281782925128937,0.0007348902872763574,0.00848300103098154,0.018023058772087097,0.10990457236766815
Mystischer Kopf; Rabenflügel Iv (Mystical Head; Raven’s Wing Iv),Alexej von Jawlensky,Russian, 1864-1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Mystischer%20Kopf;%20Rabenflügel%20Iv%20(Mystical%20Head;%20Raven’s%20Wing%20Iv)%20(1918).jpg,Mystischer Kopf; Rabenflügel Iv (Mystical Head; Raven’s Wing Iv) (1918).jpg,1864,1941.0,1918.0,0.4223383665084839,0.014941656030714512,0.20407411456108093,0.05665993317961693,0.20995020866394043,0.008273771032691002,0.016068842262029648,0.009114298969507217,0.05857883766293526
In Vaudeville Two Acrobat-Jugglers,Charles Demuth,American, 1883-1935,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/In%20Vaudeville%20Two%20Acrobat-Jugglers%20(1916).jpg,In Vaudeville Two Acrobat-Jugglers (1916).jpg,1883,1935.0,1916.0,0.03320654109120369,0.017134323716163635,0.16505984961986542,0.3025285303592682,0.23163039982318878,0.06303128600120544,0.11494038254022598,0.060423593968153,0.012045045383274555
"Alger, La Casbah",Louis Valtat,French, 1869-1952,"https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Alger,%20La%20Casbah%20(circa%201906).jpg","Alger, La Casbah (circa 1906).jpg",1869,1952.0,1906.0,0.8067975640296936,0.0021581973414868116,0.005660079885274172,0.17190231382846832,0.002317219041287899,0.0018779125530272722,0.0014650631928816438,0.004733848385512829,0.0030879154801368713
Swan Carpet,Tiit Pääsuke,Estonian, b. 1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Swan%20Carpet%20(1991).jpg,Swan Carpet (1991).jpg,1941,,1991.0,0.2588689923286438,0.0028289661277085543,0.0051443916745483875,0.5120705962181091,0.16213610768318176,0.0013737090630456805,0.044509731233119965,0.006194062996655703,0.006873407866805792
Mökki,Sulho Sipilä,Finnish, 1895 - 1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Mökki%20(1917).jpg,Mökki (1917).jpg,1895,1949.0,1917.0,0.08812008053064346,0.000539184722583741,0.0011041765101253986,0.8062208890914917,0.07890088111162186,0.002230621175840497,0.0017172194784507155,0.01305112149566412,0.00811590813100338
Guitar and clarinet,Juan Gris,Spanish, 1887-1927,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Guitar%20and%20clarinet%20(1920).jpg,Guitar and clarinet (1920).jpg,1887,1927.0,1920.0,0.07648210972547531,0.03170093521475792,0.05379166826605797,0.2537907660007477,0.241802379488945,0.017781563103199005,0.021626904606819153,0.3024839460849762,0.0005396919441409409
The Doomed City,Nicholas Roerich,Russian, 1874-1947,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/The%20Doomed%20City%20(1914).jpg,The Doomed City (1914).jpg,1874,1947.0,1914.0,0.0031274878419935703,0.003084449330344796,0.0005819545476697385,0.947217583656311,0.003490215865895152,0.002497048582881689,0.0017655902775004506,0.03514091297984123,0.0030947914347052574
Drie zeilschepen en een meeuw,Leo Gestel,Dutch, 1881- 1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Drie%20zeilschepen%20en%20een%20meeuw%20(1891).jpg,Drie zeilschepen en een meeuw (1891).jpg,1881,1941.0,1891.0,0.03705522045493126,0.07020976394414902,0.00971608143299818,0.4351317882537842,0.032666582614183426,0.1467663198709488,0.23701243102550507,0.028928902000188828,0.002512992126867175
Begräbnis,Josef Eberz,German, 1880–1942,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Begräbnis%20(1915).jpg,Begräbnis (1915).jpg,1880,1942.0,1915.0,0.04678678512573242,0.0010533261811360717,0.0013112107990309596,0.9408496618270874,0.0019160164520144463,0.000775238499045372,0.002355796517804265,0.003317475551739335,0.0016344665782526135
Demi-cercle,Sophie Taeuber-Arp,Swiss, 1889-1943,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Demi-cercle%20(1917).jpg,Demi-cercle (1917).jpg,1889,1943.0,1917.0,0.00105816510040313,0.010433570481836796,0.05416833981871605,0.14531467854976654,0.29665514826774597,0.23190897703170776,0.02935648523271084,0.20457661151885986,0.026528101414442062
Voetgangers in Ginza,Kawakami Sumio,Japanese, 1895-1972,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Voetgangers%20in%20Ginza%20(1945).jpg,Voetgangers in Ginza (1945).jpg,1895,1972.0,1945.0,0.27649202942848206,0.018202362582087517,0.03382090851664543,0.1261259913444519,0.17000164091587067,0.08503499627113342,0.04808359593153,0.12325175851583481,0.11898671835660934
Requiem,Karl Wiener,Austrian, 1901-1949,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Requiem%20(1942).jpg,Requiem (1942).jpg,1901,1949.0,1942.0,0.021096806973218918,0.021064558997750282,0.7483909130096436,0.02355220913887024,0.01572534441947937,0.02123110741376877,0.12651470303535461,0.021244434639811516,0.0011799362255260348
Circus Caravan,Max Beckmann,German, 1884 – 1950,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Circus%20Caravan%20(1940).jpg,Circus Caravan (1940).jpg,1884,1950.0,1940.0,0.5751939415931702,0.016118010506033897,0.04385225102305412,0.2879321873188019,0.028329402208328247,0.0014985909219831228,0.01076270267367363,0.013418233022093773,0.022894641384482384
Venus Vignet voor boek ‘L’art Hollandais contemporain’ van Paul Fierens,Leo Gestel,Dutch, 1881- 1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Venus%20Vignet%20voor%20boek%20‘L’art%20Hollandais%20contemporain’%20van%20Paul%20Fierens%20(1932).jpg,Venus Vignet voor boek ‘L’art Hollandais contemporain’ van Paul Fierens (1932).jpg,1881,1941.0,1932.0,0.019989246502518654,0.034853916615247726,0.10303334891796112,0.6676856875419617,0.07728639245033264,0.026725873351097107,0.04078046977519989,0.029053520411252975,0.0005915335495956242
Morning in the Village after Snowstorm,Kazimir Malevich,Russian, 1879 – 1935,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Morning%20in%20the%20Village%20after%20Snowstorm%20(1912).jpg,Morning in the Village after Snowstorm (1912).jpg,1879,1935.0,1912.0,0.13991498947143555,0.00868527777493,0.0076798624359071255,0.6546314358711243,0.0819670557975769,0.07709865272045135,0.00930414441972971,0.013311413116753101,0.007407193072140217
Näcken,Nils Dardel,Swedish, 1888-1943,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Näcken%20(1934).jpg,Näcken (1934).jpg,1888,1943.0,1934.0,0.4157370328903198,0.016453681513667107,0.17870943248271942,0.24923284351825714,0.054158326238393784,0.0035972280893474817,0.06085735559463501,0.014119422063231468,0.007134674116969109
Life,Walter Kurt Wiemken,Swiss, 1907 – 1940,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Life%20(1935).jpg,Life (1935).jpg,1907,1940.0,1935.0,0.05001406371593475,0.005848750472068787,0.06503572314977646,0.40730172395706177,0.027111748233437538,0.001359477755613625,0.0209481380879879,0.4159446656703949,0.006435699760913849
Kunstgewerbliche Schmuckformen fur die Flache Pl 30,Christian Stoll,German, 20th Century,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Kunstgewerbliche%20Schmuckformen%20fur%20die%20Flache%20Pl%2030%20(1920).jpg,Kunstgewerbliche Schmuckformen fur die Flache Pl 30 (1920).jpg,1900,2000.0,1920.0,0.00014270938117988408,0.0014814154710620642,0.0003226721310056746,0.003184365341439843,0.029792845249176025,0.9402734041213989,0.0007348100189119577,0.0028061431366950274,0.021261632442474365
St. Julian the Hospitaler,Franz Marc,German, 1880-1916,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/St.%20Julian%20the%20Hospitaler%20(1913).jpg,St. Julian the Hospitaler (1913).jpg,1880,1916.0,1913.0,0.1515914350748062,0.00827096588909626,0.06847477704286575,0.2930261790752411,0.11547568440437317,0.005122011061757803,0.32915982604026794,0.019820477813482285,0.009058583527803421
La ville de Paris,Robert Delaunay,French, 1885-1941,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/La%20ville%20de%20Paris%20(1915).jpg,La ville de Paris (1915).jpg,1885,1941.0,1915.0,0.9334494471549988,0.00017756919260136783,0.0030299664940685034,0.05447086691856384,0.00494891032576561,0.0002284556394442916,0.0005952944629825652,0.0019863464403897524,0.0011130667990073562
Stylised Flower Basket – Embellishment to ‘Życie’ Weekly from 1887 and 1889,Stanisław Wyspiański,Polish, 1869-1907,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Stylised%20Flower%20Basket%20–%20Embellishment%20to%20‘Życie’%20Weekly%20from%201887%20and%201889%20(1897).jpg,Stylised Flower Basket – Embellishment to ‘Życie’ Weekly from 1887 and 1889 (1897).jpg,1869,1907.0,1897.0,3.536291842465289e-05,0.007332582958042622,0.006882978603243828,0.0010145928245037794,0.0010556678753346205,0.9742270112037659,0.006697194185107946,0.002658112673088908,9.65458748396486e-05
Paradiesgarten in Glaskugel,Otto Meyer-Amden,Swiss, 1885 - 1933,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Paradiesgarten%20in%20Glaskugel%20(1923-24).jpg,Paradiesgarten in Glaskugel (1923-24).jpg,1885,1933.0,1924.0,0.047497160732746124,0.026955345645546913,0.07178570330142975,0.5216575264930725,0.09649491310119629,0.1023114025592804,0.0826229527592659,0.04100482165813446,0.009670269675552845
The Nurse,Ernst Ludwig Kirchner,German, 1880-1938,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/The%20Nurse%20(1917).jpg,The Nurse (1917).jpg,1880,1938.0,1917.0,0.6204127669334412,0.009600521065294743,0.18064168095588684,0.07395527511835098,0.05674112215638161,0.0017765953671187162,0.030362531542778015,0.003419601358473301,0.023089872673153877
Rest,Arnold Peter Weisz-Kubínčan,Slovak, 1898 - 1944,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/Rest%20(1940–1944).jpg,Rest (1940–1944).jpg,1898,1944.0,1944.0,0.09868686646223068,0.003433100413531065,0.006883184425532818,0.7801820635795593,0.07279128581285477,0.003015219233930111,0.013207039795815945,0.021565256640315056,0.00023596850223839283
The Ravine A,Rik Wouters,Belgian, 1882 – 1916,https://raw.githubusercontent.com/Corriande/algo-gallery-images/main/The%20Ravine%20A%20(1913).jpg,The Ravine A (1913).jpg,1882,1916.0,1913.0,0.4397350251674652,0.0015875935787335038,0.0016728047048673034,0.5443971157073975,0.0020761408377438784,0.0006614024168811738,0.006309825461357832,0.0004078459751326591,0.003152300603687763
